                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.32947,                0.49295,                0.30423,                0.85583,                0.99932,                0.96429,                0.96956,                0.95613,                0.99932,                0.96429,                0.96956,                0.91021,                0.22787,                0.37671,                 0.2257,                 0.7911,              0.0011288,              0.0011288,              0.0011288
                     46,                0.32559,                0.47755,                0.27712,                0.85125,                0.99866,                0.96429,                0.96894,                0.95781,                0.99866,                0.96429,                0.96894,                0.90691,                0.20157,                0.37866,                0.21543,                0.78761,               0.001109,               0.001109,               0.001109
                     47,                0.31398,                0.46886,                0.27322,                0.85229,                0.99944,                0.96429,                0.96941,                0.96171,                0.99944,                0.96429,                0.96941,                 0.9025,                0.19963,                0.42304,                0.20805,                0.78669,              0.0010892,              0.0010892,              0.0010892
                     48,                0.31467,                0.46075,                 0.2827,                0.85216,                0.99925,                0.96429,                 0.9682,                0.95664,                0.99925,                0.96429,                 0.9682,                0.90636,                0.20408,                0.38932,                0.21116,                0.78958,              0.0010694,              0.0010694,              0.0010694
                     49,                0.31041,                0.47688,                0.26279,                 0.8465,                0.99919,                0.96429,                0.97534,                 0.9642,                0.99919,                0.96429,                0.97534,                0.91923,                0.20171,                0.33908,                0.19321,                0.78421,              0.0010496,              0.0010496,              0.0010496
                     50,                0.32101,                0.49053,                0.27326,                0.85047,                0.99932,                0.96429,                0.96932,                0.95394,                0.99932,                0.96429,                0.96932,                0.90737,                0.21247,                0.36393,                0.20132,                0.78573,              0.0010298,              0.0010298,              0.0010298
                     51,                0.31295,                0.44514,                0.27091,                 0.8592,                 0.9993,                0.96429,                 0.9675,                0.95512,                 0.9993,                0.96429,                 0.9675,                0.91773,                 0.2106,                0.32843,                0.22647,                0.78699,                0.00101,                0.00101,                0.00101
                     52,                0.29472,                0.43971,                0.25183,                0.84625,                0.99929,                0.96429,                0.97303,                0.96156,                0.99929,                0.96429,                0.97303,                 0.9277,                0.19995,                0.35544,                0.21087,                0.78544,              0.0009902,              0.0009902,              0.0009902
                     53,                0.29431,                0.44339,                0.24868,                0.84559,                0.99913,                0.96429,                0.97275,                0.96426,                0.99913,                0.96429,                0.97275,                  0.917,                0.19741,                 0.3828,                0.20247,                0.78353,              0.0009704,              0.0009704,              0.0009704
                     54,                0.30655,                0.44004,                0.26827,                0.86308,                0.99941,                0.96429,                0.97111,                 0.9595,                0.99941,                0.96429,                0.97111,                0.91575,                0.20116,                0.36704,                0.19534,                0.78335,              0.0009506,              0.0009506,              0.0009506
                     55,                0.29887,                0.47983,                0.25496,                0.85667,                0.99922,                0.96429,                0.97187,                0.96027,                0.99922,                0.96429,                0.97187,                0.90289,                0.17602,                0.37236,                0.20225,                0.78236,              0.0009308,              0.0009308,              0.0009308
